"id","code","key","value","description","sequence","attr_1_description","attr_1","attr_2_description","attr_2","attr_3_description","attr_3","attr_4_description","attr_4","attr_5_description","attr_5","remark","created_by","created_at","updated_by","updated_at","is_deleted"
198,"101","01","北海道","",1,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
199,"101","02","青森県","",2,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
200,"101","03","岩手県","",3,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
201,"101","04","宮城県","",4,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
202,"101","05","秋田県","",5,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
203,"101","06","山形県","",6,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
204,"101","07","福島県","",7,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
205,"101","08","茨城県","",8,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
206,"101","09","栃木県","",9,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
207,"101","10","群馬県","",10,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
208,"101","11","埼玉県","",11,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
209,"101","12","千葉県","",12,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
210,"101","13","東京都","",13,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
211,"101","14","神奈川県","",14,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
212,"101","15","新潟県","",15,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
213,"101","16","富山県","",16,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
214,"101","17","石川県","",17,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
215,"101","18","福井県","",18,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
216,"101","19","山梨県","",19,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
217,"101","20","長野県","",20,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
218,"101","21","岐阜県","",21,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
219,"101","22","静岡県","",22,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
220,"101","23","愛知県","",23,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
221,"101","24","三重県","",24,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
222,"101","25","滋賀県","",25,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
223,"101","26","京都府","",26,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
224,"101","27","大阪府","",27,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
225,"101","28","兵庫県","",28,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
226,"101","29","奈良県","",29,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
227,"101","30","和歌山県","",30,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
228,"101","31","鳥取県","",31,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
229,"101","32","島根県","",32,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
230,"101","33","岡山県","",33,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
231,"101","34","広島県","",34,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
232,"101","35","山口県","",35,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
